jenis_validasi,no,aspek,indikator,pernyataan,validator_1,validator_2,validator_3,n_penilai,skor_total,skor_maks,persentase,kategori_persentase,aiken_v,kategori_aiken
Materi,1,Kelayakan Isi Materi,Kelayakan Isi Materi,Kesesuaian materi dengan kompetensi keterampilan berbicara mahasiswa Pendidikan Bahasa Indonesia,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,2,Kelayakan Isi Materi,Kelayakan Isi Materi,Keakuratan konsep dan teori keterampilan berbicara yang disajikan,3.0,4.0,3.0,3,10.0,12,83.33333333333334,Sangat Valid,0.7777777777777778,Perlu Revisi
Materi,3,Kelayakan Isi Materi,Kelayakan Isi Materi,Kedalaman dan kelengkapan materi keterampilan berbicara,4.0,4.0,3.0,3,11.0,12,91.66666666666666,Sangat Valid,0.8888888888888888,Valid
Materi,4,Kelayakan Isi Materi,Kelayakan Isi Materi,Kesesuaian materi dengan kurikulum Pendidikan Bahasa Indonesia,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,5,Kelayakan Isi Materi,Kelayakan Isi Materi,Relevansi materi dengan kebutuhan pembelajaran mahasiswa,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,6,Kelayakan Isi Materi,Kelayakan Isi Materi,Keaktualan dan kemutakhiran materi yang disajikan,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,7,Desain Pembelajaran Microlearning,Desain Pembelajaran Microlearning,Kesesuaian segmentasi materi dalam format microlearning (bite-sized),4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,8,Desain Pembelajaran Microlearning,Desain Pembelajaran Microlearning,Sistematika penyajian materi yang runtut dan logis,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,9,Desain Pembelajaran Microlearning,Desain Pembelajaran Microlearning,Kemudahan materi untuk dipahami mahasiswa,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,10,Desain Pembelajaran Microlearning,Desain Pembelajaran Microlearning,Durasi setiap modul pembelajaran yang tepat dan efektif,4.0,4.0,3.0,3,11.0,12,91.66666666666666,Sangat Valid,0.8888888888888888,Valid
Materi,11,Desain Pembelajaran Microlearning,Desain Pembelajaran Microlearning,Keterpaduan antar modul dalam satu kesatuan pembelajaran,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,12,Desain Pembelajaran Microlearning,Desain Pembelajaran Microlearning,Fleksibilitas akses materi sesuai kebutuhan belajar mandiri,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,13,Kesesuaian dengan Teknik Feynman,Kesesuaian dengan Teknik Feynman,Kesesuaian materi dengan prinsip teknik Feynman,4.0,4.0,3.0,3,11.0,12,91.66666666666666,Sangat Valid,0.8888888888888888,Valid
Materi,14,Kesesuaian dengan Teknik Feynman,Kesesuaian dengan Teknik Feynman,Dukungan materi terhadap kemampuan menjelaskan konsep dengan bahasa sederhana,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,15,Kesesuaian dengan Teknik Feynman,Kesesuaian dengan Teknik Feynman,Tersedianya contoh dan latihan penerapan teknik Feynman,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,16,Kesesuaian dengan Teknik Feynman,Kesesuaian dengan Teknik Feynman,Kesesuaian aktivitas pembelajaran dengan filosofi learning by teaching,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,17,Kesesuaian dengan Teknik Feynman,Kesesuaian dengan Teknik Feynman,Dukungan materi untuk identifikasi kesenjangan pemahaman,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,18,Pengembangan Kemampuan Metakognitif,Pengembangan Kemampuan Metakognitif,Dukungan materi untuk pengembangan kemampuan perencanaan (planning),4.0,4.0,3.0,3,11.0,12,91.66666666666666,Sangat Valid,0.8888888888888888,Valid
Materi,19,Pengembangan Kemampuan Metakognitif,Pengembangan Kemampuan Metakognitif,Dukungan materi untuk pengembangan kemampuan pemantauan (monitoring),4.0,4.0,3.0,3,11.0,12,91.66666666666666,Sangat Valid,0.8888888888888888,Valid
Materi,20,Pengembangan Kemampuan Metakognitif,Pengembangan Kemampuan Metakognitif,Dukungan materi untuk pengembangan kemampuan evaluasi diri (evaluation),4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,21,Pengembangan Kemampuan Metakognitif,Pengembangan Kemampuan Metakognitif,Tersedianya panduan refleksi dan self-assessment,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,22,Pengembangan Kemampuan Metakognitif,Pengembangan Kemampuan Metakognitif,Aktivitas yang mendorong kesadaran metakognitif mahasiswa,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,23,Keterampilan Berbicara,Keterampilan Berbicara,Kesesuaian materi dengan aspek pengorganisasian ide dalam berbicara,4.0,4.0,3.0,3,11.0,12,91.66666666666666,Sangat Valid,0.8888888888888888,Valid
Materi,24,Keterampilan Berbicara,Keterampilan Berbicara,Dukungan materi untuk pengembangan kejelasan penyampaian,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,25,Keterampilan Berbicara,Keterampilan Berbicara,Kesesuaian materi dengan pengembangan ketepatan bahasa,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,26,Keterampilan Berbicara,Keterampilan Berbicara,Dukungan materi untuk pengembangan strategi komunikasi,4.0,4.0,3.0,3,11.0,12,91.66666666666666,Sangat Valid,0.8888888888888888,Valid
Materi,27,Keterampilan Berbicara,Keterampilan Berbicara,Tersedianya contoh dan model keterampilan berbicara yang baik,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,28,Aspek Motivasi dan Kebahasaan Umum,Aspek Motivasi dan Kebahasaan Umum,Kemampuan materi memotivasi mahasiswa dalam pembelajaran,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,29,Aspek Motivasi dan Kebahasaan Umum,Aspek Motivasi dan Kebahasaan Umum,Daya tarik dan engagement materi pembelajaran,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Materi,30,Aspek Motivasi dan Kebahasaan Umum,Aspek Motivasi dan Kebahasaan Umum,Kontekstualitas materi dengan kehidupan mahasiswa,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Media,1,Bentuk Media,Bentuk Media - Antarmuka (UI),Desain antarmuka menarik secara visual dan profesional,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Media,2,Bentuk Media,Bentuk Media - Navigasi,Menu dan navigasi media sederhana jelas dan mudah dipahami,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Media,3,Bentuk Media,Bentuk Media - Tata Letak,Tata letak dan desain konsisten di seluruh halaman,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
Media,4,Bentuk Media,Bentuk Media - Tipografi,Jenis font ukuran dan warna teks mudah dibaca dan sesuai,4.0,4.0,3.0,3,11.0,12,91.66666666666666,Sangat Valid,0.8888888888888888,Valid
Media,5,Kualitas Media,Kualitas Media - Stabilitas Media,Media stabil saat digunakan dengan minim kesalahan teknis (bug),3.0,3.0,3.0,3,9.0,12,75.0,Valid,0.6666666666666666,Perlu Revisi
Media,6,Kualitas Media,Kualitas Media - Kemudahan Penggunaan,Media mudah digunakan oleh mahasiswa (user-friendly),4.0,3.0,3.0,3,10.0,12,83.33333333333334,Sangat Valid,0.7777777777777778,Perlu Revisi
Media,7,Kualitas Media,Kualitas Media - Relevansi Konten,Konten relevan dengan tujuan pembelajaran keterampilan berbicara,4.0,3.0,4.0,3,11.0,12,91.66666666666666,Sangat Valid,0.8888888888888888,Valid
Media,8,Fungsi Media,Fungsi Media - Pembelajaran Aktif,Media mendukung pembelajaran aktif dan mandiri mahasiswa,3.0,3.0,4.0,3,10.0,12,83.33333333333334,Sangat Valid,0.7777777777777778,Perlu Revisi
Media,9,Fungsi Media,Fungsi Media - Pemahaman Konsep,Media mempermudah mahasiswa memahami konsep dengan lebih cepat,4.0,4.0,4.0,3,12.0,12,100.0,Sangat Valid,1.0,Valid
