"no","before(verbatim)","after(sugesti)"
"1","Jika ditelusuri lebih dalam, akar permasalahan tersebut tidak semata-mata bersifat teknis kebahasaan, melainkan terkait erat dengan lemahnya kemampuan metakognitif dalam keterampilan berbicara. Berbagai studi mutakhir menunjukkan bahwa tanpa regulasi metakognitif yang memadai, mahasiswa tidak memiliki mekanisme reflektif yang jelas untuk meningkatkan kualitas berbicaranya secara berkelanjutan (Zhang et al., 2021). Dalam konteks penelitian ini, kelemahan tersebut tampak pada lima dimensi yang saling terhubung. Pertama, pada tahap conceptualisation, mahasiswa sering berbicara tanpa tujuan komunikasi, struktur isi, dan prioritas gagasan yang jelas. Kedua, pada tahap formulation, mahasiswa belum konsisten memilih kosakata, bentuk kalimat, dan strategi retorika yang sesuai dengan konteks akademik. Ketiga, pada tahap articulation, penyampaian lisan masih belum stabil dari segi kejelasan, intonasi, dan kelancaran. Keempat, pada aspek self-monitoring, mahasiswa belum terbiasa memantau koherensi argumen, kejelasan penjelasan, dan respons audiens ketika berbicara. Kelima, pada aspek self-evaluation, mahasiswa umumnya belum melakukan refleksi sistematis terhadap keberhasilan komunikasi dan bagian yang perlu diperbaiki setelah performa lisan selesai. Kondisi ini menyebabkan peningkatan keterampilan berbicara berlangsung secara coba-coba, bukan melalui proses sadar yang terarah (Arifin, 2025; Darmuki & Hariyadi, 2019; Muhammadpour & Tahriri, 2024).","Jika ditelusuri lebih dalam, akar permasalahan tersebut tidak semata-mata bersifat teknis kebahasaan, tetapi juga berkaitan dengan lemahnya kemampuan metakognitif dalam keterampilan berbicara. Berbagai studi mutakhir menunjukkan bahwa tanpa regulasi metakognitif yang memadai, mahasiswa tidak memiliki mekanisme reflektif yang jelas untuk meningkatkan kualitas berbicaranya secara berkelanjutan (Zhang et al., 2021). Dalam penelitian ini, kelemahan tersebut dipetakan ke dalam lima dimensi yang saling berhubungan. Pertama, pada tahap konseptualisasi (conceptualisation), mahasiswa sering berbicara tanpa tujuan komunikasi, struktur isi, dan prioritas gagasan yang jelas. Kedua, pada tahap formulasi (formulation), mahasiswa belum konsisten memilih kosakata, bentuk kalimat, dan strategi retorika yang sesuai dengan konteks akademik. Ketiga, pada tahap artikulasi (articulation), penyampaian lisan masih belum stabil dari segi kejelasan, intonasi, dan kelancaran. Keempat, pada tahap pemantauan diri (self-monitoring), mahasiswa belum terbiasa memantau koherensi argumen, kejelasan penjelasan, dan respons audiens ketika berbicara. Kelima, pada tahap evaluasi diri (self-evaluation), mahasiswa umumnya belum melakukan refleksi sistematis terhadap keberhasilan komunikasi dan bagian yang perlu diperbaiki setelah performa lisan selesai. Kondisi ini menyebabkan peningkatan keterampilan berbicara berlangsung secara coba-coba, bukan melalui proses sadar yang terarah (Arifin, 2025; Darmuki & Hariyadi, 2019; Muhammadpour & Tahriri, 2024)."
"2","Di sisi lain, observasi awal dan telaah teori pada Bab II menunjukkan bahwa media pembelajaran keterampilan berbicara yang tersedia masih banyak didominasi penyajian teks, penugasan, dan instruksi satu arah. Media semacam ini umumnya belum memberi ruang interaktivitas yang memadai, belum menyediakan latihan berbicara yang terintegrasi dari pemahaman sampai performa lisan, dan belum secara sadar dirancang untuk membantu mahasiswa memantau serta merefleksikan penampilannya. Padahal, pembelajaran berbasis web yang efektif semestinya memanfaatkan kekuatan multimedia, interaksi, dan produksi linguistik secara simultan (Bates, 2015; Chapelle, 2006). Selain itu, tidak banyak media yang secara eksplisit dirancang dengan memperhatikan prinsip-prinsip CTML, seperti segmentasi materi, koherensi tampilan, dan pengelolaan beban kognitif, sehingga potensi media digital untuk mendukung belajar berbicara belum dimanfaatkan secara optimal (Mayer, 2012).","Di sisi lain, hasil observasi awal menunjukkan bahwa media pembelajaran keterampilan berbicara masih banyak didominasi oleh penyajian teks, penugasan, dan instruksi satu arah. Media semacam ini belum secara konsisten menyediakan alur latihan yang menghubungkan pemahaman konsep, penyusunan penjelasan, performa lisan, pemantauan diri, dan refleksi setelah berbicara. Padahal, pembelajaran berbasis web yang efektif semestinya memanfaatkan kekuatan multimedia, interaksi, dan produksi linguistik secara terpadu sesuai dengan tujuan pembelajaran (Bates, 2015; Chapelle, 2006). Media juga perlu dirancang berdasarkan prinsip segmentasi, koherensi, dan pengelolaan beban kognitif agar unsur multimedia tidak hanya memperindah tampilan, tetapi membantu mahasiswa memproses informasi secara lebih terarah (Mayer, 2012)."
"3","Berdasarkan celah penelitian tersebut, penelitian ini mengembangkan media pembelajaran berbasis web microlearning yang terintegrasi dengan Teknik Feynman. Dalam model penelitian ini, kemampuan metakognitif dalam keterampilan berbicara diposisikan sebagai konstruk proses yang menjelaskan bagaimana mahasiswa merencanakan, memantau, dan mengevaluasi latihan berbicara selama menggunakan media. Artinya, media web microlearning berbasis Teknik Feynman dirancang untuk memperkuat lima dimensi metakognitif-berbicara, yaitu conceptualisation, formulation, articulation, self-monitoring, dan self-evaluation, yang selanjutnya mendukung peningkatan performa berbicara mahasiswa. Kebaruan penelitian ini terletak pada tiga aspek utama. Pertama, pengembangan model konseptual yang mengintegrasikan Teknik Feynman dan metakognitif dalam konteks keterampilan berbicara. Kedua, perancangan media web microlearning yang secara sistematis menerapkan tahapan Teknik Feynman, menyediakan latihan berbicara terintegrasi, dan memanfaatkan prinsip CTML sebagai dasar desain multimedia. Ketiga, pengujian empiris model tersebut pada mahasiswa Pendidikan Bahasa dan Sastra Indonesia di perguruan tinggi. Dengan demikian, penelitian ini diharapkan mengisi celah literatur yang ada serta berkontribusi terhadap pengembangan desain pembelajaran digital yang sejalan dengan visi Kampus Berdampak dan prinsip Pembelajaran Mendalam abad ke-21. Oleh karena itu, peneliti mengangkat judul “Pengembangan Web Microlearning Berbasis Teknik Feynman untuk Meningkatkan Kemampuan Metakognitif dalam Keterampilan Berbicara Mahasiswa.”","Berdasarkan celah penelitian tersebut, penelitian ini mengembangkan media pembelajaran berbasis web microlearning yang terintegrasi dengan Teknik Feynman. Kemampuan metakognitif dalam keterampilan berbicara diposisikan sebagai konstruk proses pedagogis yang menjelaskan bagaimana mahasiswa membangun konsep, merumuskan penjelasan, mengartikulasikan gagasan, memantau performa, dan mengevaluasi hasil berbicara selama menggunakan media. Kebaruan penelitian ini terletak pada pengembangan model konseptual yang menghubungkan Teknik Feynman, kemampuan metakognitif, dan keterampilan berbicara; perancangan media web microlearning yang menerapkan tahapan Teknik Feynman dan prinsip CTML; serta evaluasi empiris produk pada mahasiswa Pendidikan Bahasa dan Sastra Indonesia. Model ASSURE dipilih karena tahapannya menghubungkan analisis karakteristik pembelajar, penetapan tujuan, pemilihan metode dan media, pemanfaatan media, pelibatan aktif mahasiswa, serta evaluasi dan revisi produk (Smaldino et al., 2019). Oleh karena itu, peneliti mengangkat judul “Pengembangan Web Microlearning Berbasis Teknik Feynman untuk Meningkatkan Kemampuan Metakognitif dalam Keterampilan Berbicara Mahasiswa.”"
"4","Berdasarkan latar belakang yang telah diuraikan, keterampilan berbicara di pendidikan tinggi tidak hanya berkaitan dengan kemampuan teknis berbahasa, tetapi juga melibatkan dimensi kognitif yang lebih dalam, yakni kemampuan metakognitif. Berikut adalah permasalahan yang berhasil diidentifikasi:","Penelitian ini berfokus pada pengembangan dan evaluasi media web microlearning berbasis Teknik Feynman untuk meningkatkan kemampuan metakognitif dalam keterampilan berbicara mahasiswa Pendidikan Bahasa dan Sastra Indonesia. Fokus tersebut dijabarkan ke dalam empat subfokus penelitian:"
"5","Keterampilan berbicara mahasiswa Pendidikan Bahasa dan Sastra Indonesia belum memenuhi standar yang diharapkan, yang terlihat dari kelemahan dalam mengorganisasi ide, menyampaikan argumentasi secara jelas, serta menerapkan strategi komunikasi yang efektif dalam konteks akademik.","Karakteristik dan kebutuhan belajar mahasiswa dalam pembelajaran keterampilan berbicara berbasis metakognitif."
"6","Kemampuan metakognitif dalam keterampilan berbicara mahasiswa masih lemah, terutama pada dimensi merangkai konsep (conceptualisation), merumuskan gagasan (formulation), mengutarakan dengan jelas (articulation), meninjau kembali diri sendiri (self-monitoring), dan serta mengevaluasi diri (self-evaluation).","Rancangan media web microlearning berbasis Teknik Feynman berdasarkan karakteristik mahasiswa dan tujuan pembelajaran."
"7","Adanya kesenjangan antara pemahaman kognitif yang dimiliki mahasiswa dan kemampuannya mengomunikasikan pemahaman tersebut secara lisan, yang diperparah oleh ketergantungan pada teknologi AI generatif yang menggeser praktik berbicara menjadi aktivitas membaca ulang teks.","Proses pengembangan dan implementasi media berdasarkan tahapan model ASSURE."
"8","Pembelajaran keterampilan berbicara di perguruan tinggi masih lebih menekankan aspek performa akhir dibandingkan proses kognitif-reflektif yang melandasinya, sehingga kesadaran metakognitif belum terintegrasi secara sistematis.","Kelayakan dan efektivitas media berdasarkan penilaian ahli, respons pengguna, dan hasil uji lapangan."
"9","Media pembelajaran keterampilan berbicara yang tersedia masih banyak didominasi teks dan instruksi satu arah, sehingga belum mengakomodasi interaktivitas, latihan berbicara terintegrasi, dan ruang refleksi performa secara memadai.",""
"10","Belum banyak media web untuk keterampilan berbicara yang secara sistematis mengintegrasikan microlearning, Teknik Feynman, dan prinsip CTML untuk mengembangkan kemampuan metakognitif dalam keterampilan berbicara mahasiswa.",""
