student_id,planning_pre,monitoring_pre,reflection_pre,overall_pre,planning_post,monitoring_post,reflection_post,overall_post
S01,2,1,1,1.33,3,1,3,2.33
S02,1,1,1,1.0,3,3,2,2.67
S03,1,2,1,1.33,3,3,3,3.0
S04,3,2,1,2.0,3,1,3,2.33
S05,2,1,2,1.67,2,3,3,2.67
S06,1,1,1,1.0,2,3,3,2.67
S07,1,1,1,1.0,3,3,2,2.67
S08,3,3,2,2.67,3,3,2,2.67
S09,2,2,1,1.67,3,3,3,3.0
S10,1,2,1,1.33,2,1,3,2.0
S11,1,1,1,1.0,3,3,3,3.0
S12,1,1,2,1.33,3,3,3,3.0
S13,1,2,2,1.67,3,3,3,3.0
S14,1,1,1,1.0,3,2,3,2.67
S15,1,1,1,1.0,3,3,3,3.0
S16,1,1,1,1.0,1,2,3,2.0
S17,1,1,1,1.0,2,1,3,2.0
S18,2,1,1,1.33,3,3,3,3.0
S19,1,1,2,1.33,3,3,1,2.33
S20,1,1,1,1.0,3,2,3,2.67
S21,2,1,1,1.33,3,3,3,3.0
S22,2,1,1,1.33,2,3,3,2.67
S23,1,1,1,1.0,3,3,1,2.33
S24,3,1,1,1.67,2,3,3,2.67
S25,1,2,1,1.33,3,3,3,3.0
S26,1,1,1,1.0,3,2,3,2.67
S27,1,1,1,1.0,2,3,3,2.67
S28,1,3,1,1.67,3,1,3,2.33
