student_id,session,pausing_to_plan,self_correction,voluntary_reflection
S01,1,1,0,0
S01,2,1,0,1
S01,3,0,0,1
S01,4,0,0,1
S01,5,0,0,1
S01,6,0,0,1
S01,7,1,0,0
S01,8,1,1,1
S02,1,0,0,0
S02,2,1,1,1
S02,3,0,1,0
S02,4,0,1,1
S02,5,0,1,1
S02,6,0,0,1
S02,7,0,0,1
S02,8,1,1,1
S03,1,0,0,0
S03,2,0,1,0
S03,3,0,0,1
S03,4,1,0,0
S03,5,1,1,0
S03,6,1,0,0
S03,7,1,0,0
S03,8,0,0,0
S04,1,1,0,0
S04,2,0,1,0
S04,3,0,1,0
S04,4,0,0,0
S04,5,0,0,0
S04,6,1,1,0
S04,7,0,0,0
S04,8,1,0,1
S05,1,0,1,0
S05,2,1,1,0
S05,3,0,1,1
S05,4,0,1,0
S05,5,0,0,0
S05,6,0,0,1
S05,7,0,1,1
S05,8,0,1,1
S06,1,0,1,0
S06,2,0,0,1
S06,3,1,1,0
S06,4,0,0,1
S06,5,1,0,0
S06,6,0,0,0
S06,7,1,0,1
S06,8,0,0,1
S07,1,1,1,0
S07,2,0,0,0
S07,3,1,0,1
S07,4,0,0,0
S07,5,1,0,1
S07,6,1,0,0
S07,7,1,0,1
S07,8,1,1,1
S08,1,0,0,0
S08,2,0,0,1
S08,3,1,0,0
S08,4,0,0,0
S08,5,1,1,1
S08,6,0,0,1
S08,7,0,1,0
S08,8,0,0,0
S09,1,0,1,0
S09,2,0,0,0
S09,3,0,0,1
S09,4,0,1,0
S09,5,0,1,0
S09,6,1,1,0
S09,7,1,1,1
S09,8,1,0,0
S10,1,0,0,0
S10,2,0,0,0
S10,3,1,0,1
S10,4,0,1,1
S10,5,1,0,1
S10,6,0,0,1
S10,7,1,1,0
S10,8,1,0,1
S11,1,0,0,0
S11,2,0,1,0
S11,3,1,0,0
S11,4,0,1,1
S11,5,1,1,1
S11,6,1,1,0
S11,7,0,0,1
S11,8,1,1,1
S12,1,0,0,0
S12,2,0,0,0
S12,3,1,0,0
S12,4,0,1,1
S12,5,0,0,1
S12,6,0,0,0
S12,7,1,1,1
S12,8,1,1,0
S13,1,1,0,0
S13,2,1,0,0
S13,3,1,0,1
S13,4,0,0,1
S13,5,1,1,0
S13,6,0,1,1
S13,7,0,1,0
S13,8,0,0,1
S14,1,0,0,0
S14,2,0,0,0
S14,3,0,0,0
S14,4,0,1,1
S14,5,0,0,0
S14,6,0,1,1
S14,7,1,1,1
S14,8,1,1,1
S15,1,0,0,1
S15,2,0,0,0
S15,3,1,0,0
S15,4,0,0,0
S15,5,0,1,1
S15,6,1,0,0
S15,7,0,1,0
S15,8,1,0,1
S16,1,0,0,1
S16,2,0,0,0
S16,3,1,0,1
S16,4,0,1,0
S16,5,0,1,0
S16,6,1,0,1
S16,7,1,1,1
S16,8,0,1,0
S17,1,0,0,1
S17,2,1,0,0
S17,3,0,0,0
S17,4,0,0,0
S17,5,1,1,1
S17,6,1,0,0
S17,7,1,0,0
S17,8,1,0,0
S18,1,1,0,0
S18,2,1,1,0
S18,3,0,0,0
S18,4,0,1,0
S18,5,0,1,0
S18,6,0,0,1
S18,7,0,0,1
S18,8,1,1,1
S19,1,0,0,0
S19,2,1,0,0
S19,3,0,0,0
S19,4,0,0,1
S19,5,0,0,0
S19,6,1,0,1
S19,7,0,0,1
S19,8,0,1,1
S20,1,0,0,1
S20,2,0,1,1
S20,3,0,0,0
S20,4,0,1,1
S20,5,0,1,0
S20,6,1,0,0
S20,7,0,1,0
S20,8,1,1,1
S21,1,0,0,0
S21,2,0,0,0
S21,3,1,0,1
S21,4,1,1,1
S21,5,1,0,0
S21,6,1,1,1
S21,7,0,0,1
S21,8,1,1,1
S22,1,0,1,1
S22,2,0,0,0
S22,3,0,0,1
S22,4,0,0,0
S22,5,0,0,1
S22,6,1,1,0
S22,7,1,0,1
S22,8,1,0,1
S23,1,1,0,0
S23,2,0,1,0
S23,3,0,0,1
S23,4,0,0,0
S23,5,0,0,1
S23,6,0,0,0
S23,7,0,1,1
S23,8,0,1,1
S24,1,1,1,0
S24,2,0,0,0
S24,3,0,0,0
S24,4,0,0,0
S24,5,0,0,0
S24,6,1,0,0
S24,7,0,0,1
S24,8,1,1,0
S25,1,0,0,1
S25,2,0,0,0
S25,3,0,0,1
S25,4,1,0,1
S25,5,1,1,0
S25,6,0,0,0
S25,7,0,0,1
S25,8,1,0,1
S26,1,0,0,0
S26,2,0,0,0
S26,3,1,0,0
S26,4,0,0,1
S26,5,0,1,0
S26,6,0,0,1
S26,7,1,1,0
S26,8,1,1,0
S27,1,0,0,0
S27,2,1,0,0
S27,3,0,0,1
S27,4,0,0,0
S27,5,0,1,0
S27,6,0,1,1
S27,7,1,0,1
S27,8,0,0,1
S28,1,1,0,0
S28,2,0,0,0
S28,3,0,0,1
S28,4,0,0,0
S28,5,0,0,0
S28,6,1,0,1
S28,7,0,1,0
S28,8,1,1,1
